Halobacterium sp. NRC-1, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
hypothetical protein VNG0001H 	248	1453	+	401	15789341	1446951	-	VNG0001H	COG1361M
YvrO 	1450	2115	+	221	15789342	1446952	yvrO	VNG0002G	COG1136V
hypothetical protein VNG0003C 	2145	3254	+	369	15789343	1446953	-	VNG0003C	COG4591M
hypothetical protein VNG0005H 	3322	5643	+	773	15789344	1446954	-	VNG0005H	COG1287R
hypothetical protein VNG0006G 	5646	7451	-	601	15789345	1446955	glmS	VNG0006G	COG0449M
GraD5 	7454	8641	-	395	15789346	1446956	graD5	VNG0008G	COG1208MJ
GraD2 	8655	9860	-	401	15789347	1446957	graD2	VNG0009G	COG1208MJ
hypothetical protein VNG0011C 	9980	11413	+	477	15789348	1446958	-	VNG0011C	COG2148M
hypothetical protein VNG0013C 	11478	12614	-	378	15789349	1446959	-	VNG0013C	COG0675L
hypothetical protein VNG0014C 	12978	13187	+	69	15789350	1446960	-	VNG0014C	COG0065E
hypothetical protein VNG0015H 	13462	13644	-	60	15789351	1446961	-	VNG0015H	-
hypothetical protein VNG0016H 	13809	14180	-	123	15789352	1446962	-	VNG0016H	COG2524K
hypothetical protein VNG0017H 	14484	14780	+	98	15789353	1446963	-	VNG0017H	-
hypothetical protein VNG0018H 	14868	15131	+	87	15789354	1446964	-	VNG0018H	-
hypothetical protein VNG0019H 	15310	15408	+	32	15789355	1446965	-	VNG0019H	-
hypothetical protein VNG0020H 	15419	16051	-	210	15789356	1446966	-	VNG0020H	-
hypothetical protein VNG0021H 	16342	17706	+	454	15789357	1446967	-	VNG0021H	COG3436L
hypothetical protein VNG0022H 	18357	18902	+	181	15789358	1446968	-	VNG0022H	-
hypothetical protein VNG0023H 	18895	19530	+	211	15789359	1446969	-	VNG0023H	-
hypothetical protein VNG0024H 	19703	20023	-	106	15789360	1446970	-	VNG0024H	-
hypothetical protein VNG0025H 	20219	20482	-	87	15789361	1446971	-	VNG0025H	-
hypothetical protein VNG0026C 	20533	21456	-	307	15789362	1446972	-	VNG0026C	COG0675L
hypothetical protein VNG0027H 	22103	22750	-	215	15789363	1446973	-	VNG0027H	-
hypothetical protein VNG0028C 	23336	23890	+	184	15789364	1446974	-	VNG0028C	COG3415L
hypothetical protein VNG0029H 	24109	24564	-	151	15789365	1446975	-	VNG0029H	-
hypothetical protein VNG0030H 	26201	26596	+	131	15789366	1446976	-	VNG0030H	-
hypothetical protein VNG0031H 	26648	29008	+	786	15789367	1446977	-	VNG0031H	-
